James Cameron ;Sam Worthington;Zoe Saldana;Sigourney Weaver;Stephen Lang;Michelle Rodriguez;Giovanni Ribisi;Joel David Moore;CCH Pounder;Wes Studi;Laz Alonso;Dileep Rao;Matt Gerald;Sean Anthony Moran;Jason Whyte;Scott Lawrence;Kelly Kilgour;James Patrick Pitt;Sean Patrick Murphy;Peter Dillon;Kevin Dorman;Kelson Henderson;David Van Horn;Jacob Tomuri;Michael Blain-Rozgay;Jon Curry;Julene Renee;Luke Hawker;Woody Schultz;Peter Mensah;Sonia Yee;Jahnel Curfman;Ilram Choi;Kyla Warren;Lisa Roumain;Debra Wilson;Taylor Kibby;Jodie Landau;Chris Mala;Julie Lamm;Cullen B. Madden;Joseph Brady Madden;Frankie Torres;Austin Wilson;Sara Wilson;Tamica Washington-Miller;Lucy Briant;Nathan Meister;Gerry Blair;Matthew Chamberlain;Paul Yates;Wray Wilson;James Gaylyn;Melvin Leno Clark III;Carvon Futrell;Brandon Jelkes;Micah Moch;Hanniyah Muhammad;Christopher Nolen;Christa Oliver;April Marie Thomas;Bravita A. Threatt;Colin Bleasdale;Mike Bodnar;Matt Clayton;Nicole Dionne;Jamie Harrison;Allan Henry;Anthony Ingruber;Ashley Jeffery;Dean Knowsley;Joseph Mika-Hunt;Terry Notary;Kai Pantano;Logan Pithyou;Stuart Pollock;Raja;Gareth Ruck;Rhian Sheehan;T.J. Storm;Jodie Taylor;Alicia Vela-Bailey;Richard Whiteside;Nikie Zambo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
James Cameron ;Leonardo DiCaprio;Kate Winslet;Billy Zane;Kathy Bates;Frances Fisher;Gloria Stuart;Bill Paxton;Bernard Hill;David Warner;Victor Garber;Jonathan Hyde;Suzy Amis;Lewis Abernathy;Nicholas Cascone;Anatoly M. Sagalevitch;Danny Nucci;Jason Barry;Ewan Stewart;Ioan Gruffudd;Jonny Phillips;Mark Lindsay Chapman;Richard Graham;Paul Brightwell;Ron Donachie;Eric Braeden;Charlotte Chatton;Bernard Fox;Michael Ensign;Fannie Brett;Jenette Goldstein;Camilla Overbye Roos;Linda Kerns;Amy Gaipa;Martin Jarvis;Rosalind Ayres;Rochelle Rose;Jonathan Evans-Jones;Brian Walsh;Rocky Taylor;Alexandrea Owens;Simon Crane;Edward Fletcher;Scott G. Anderson;Martin East;Craig Kelly;Gregory Cooke;Liam Tuohy;James Lancaster;Elsa Raven;Lew Palter;Reece P. Thompson III;Laramie Landis;Amber Waddell;Alison Waddell;Mark Rafael Truitt;John Walcutt;Terry Forrestal;Derek Lea;Richard Ashton;Sean Nepita;Brendan Connolly;David Cronnelly;Garth Wilton;Martin Laing;Richard Fox;Nick Meaney;Kevin Owers;Mark Capri;Marc Cass;Paul Herbert;Emmett James;Chris Byrne;Oliver Page;James Garrett;Erik Holland;Jari Kinnunen;Anders Falk;Martin Hub;Seth Adkins;Barry Dennen;Vern Urich;Rebecca Klingler;Tricia O'Neil;Kathleen S. Dunn;Romeo Francis;Mandana Marino;Van Ling;Bjørn Olsen;Dan Pettersson;Shay Duffin;Greg Ellis;Diana Morgan;Lorenz Hasler;Thomas Füri;Ferenc Szedlák;Béla Szedlák;Werner Giger;Patrick Murphy;Stephen Wehmeyer;Stephen Twigger;Shep Lonsdale;Samantha Hunt;Kris Andersson;Bobbie Bates;Aaron James Cash;Anne Fletcher;Edmond Alan Forsyth;Andie Hicks;Scott Hislop;Stan Mazin;Lisa Ratzin;Julene Renee;Brian Baines;Alexandra Boyd;Mike Butters;James Cameron;Bruno Campolo;Chris Cragnotti;Kevyn Currie;Kevin De La Noy;Sean Howse;Rudy Joffroy;Tony Kenny;Sean Lawlor;John Leonhardt;Don Lynch;Johnny Martin;Meghan McLeod;Mike O'Neal;Barbarella Pardo;Phil Parlapiano;Judy Prestininzi;Steven Quale;Olivia Rosewood;John Slade;Stephen Wolfe Smith;R. Gern Trowbridge;Miguel Angel Varela Fimbres;Francisco Váldez;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Joss Whedon ;Robert Downey Jr.;Chris Evans;Mark Ruffalo;Chris Hemsworth;Scarlett Johansson;Jeremy Renner;Tom Hiddleston;Clark Gregg;Cobie Smulders;Stellan Skarsgård;Samuel L. Jackson;Gwyneth Paltrow;Paul Bettany;Alexis Denisof;Tina Benko;Jerzy Skolimowski;Kirill Nikiforov;Jeff Wolfe;M'laah Kaur Singh;Rashmi Rustagi;Powers Boothe;Jenny Agutter;Arthur Darbinyan;Donald Li;Warren Kole;Alicia Sixtos;Jesse Garcia;Maximiliano Hernández;Dieter Riesle;Kenneth Tigar;Walter Perez;Harry Dean Stanton;Josh Cowdery;Ashley Johnson;Katsumi Komatsu;Yumiko Komatsu;Momoko Komatsu;Robert Clohessy;Enver Gjokaj;Fernanda Toker;Andrea Vecchio;Robin Swoboda;Brent McGee;Jamie McShane;Michael Zhang;William Christopher Stephens;Kelley Robins;Romy Rosemont;James Eckhouse;Stan Lee;Pat Kiernan;Damion Poitier;Thomas Roberts;Ricardo Andres;Logan Bennett;Mayank Bhatter;Lou Ferrigno;Eric Frank;Annette Lawless;Kimberly J. Mahoney;Todd Manes;Jorge Mardel;Jillian Morgese;Joti Nagra;Joseph O'Brien;Nate Paige;Alonda Shevette;Douglas Slygh;Colin Strause;Robert P. Thitoff;Shane Thompson;Jerry Lee Tucker;Chris Vaina;Sandra Weston;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Christopher Nolan ;Christian Bale;Heath Ledger;Aaron Eckhart;Michael Caine;Maggie Gyllenhaal;Gary Oldman;Morgan Freeman;Monique Gabriela Curnen;Ron Dean;Cillian Murphy;Chin Han;Nestor Carbonell;Eric Roberts;Ritchie Coster;Anthony Michael Hall;Keith Szarabajka;Colin McFarlane;Joshua Harto;Melinda McGraw;Nathan Gamble;Michael Vieau;Michael Stoyanov;William Smillie;Danny Goldring;Michael Jai White;Matthew O'Neill;William Fichtner;Olumiji Olawumi;Greg Beam;Erik Hellman;Beatrice Rosen;Vincenzo Nicoli;Edison Chen;Nydia Rodriguez Terracina;Andy Luther;James Farruggio;Tom McElroy;Will Zahrn;James Fierro;Patrick Leahy;Sam Derence;Jennifer Knox;Patrick Clear;Sarah Jayne Dunn;Charles Venn;Winston Ellis;David Dastmalchian;Sophia Hinshelwood;Keith Kupferer;Joseph Luis Caballero;Richard Dillane;Daryl Satcher;Chris Petschler;Aidan Feore;Philip Bulcock;Paul Birchard;Walter Lewis;Vincent Riotta;Nancy Crane;K. Todd Freeman;Matt Shallenberger;Michael Andrew Gorman;Lanny Lutz;Peter Defaria;Matt Rippy;Andrew Bicknell;Ariyon Bakare;Doug Ballard;Helene Wilson;Tommy Campbell;Craig Heaney;Lorna Gayle;Lisa McAllister;Peter Brooke;Joshua Rollins;Dale Rivera;Matthew Leitch;Tommy 'Tiny' Lister;Thomas Gaitsch;William Armstrong;Adam Kalesperis;Tristan Tait;Bronson Webb;David Ajala;Gertrude Mosley;Jonathan Ryland;James Scales;Nigel Carrington;Ian Pirie;Lateef Lovejoy;Grahame Edwards;Roger Monk;Ronan Summers;Wai Wong;Michael Corey Foster;Hannah Gunn;Brandon Lambdin;Jeff Albertson;Tracy L. Aldaz;Matthew W. Allen;Stephen Armourae;Mike Bach;Wayne Baker;Martin Ballantyne;Tommy Bartlett;Blayne Bennett;Jon Lee Brody;Debbi Burns;Maritza Cabrera;Shirin Caiola;Laura Chernicky;Matt Cho;Henry Milton Chu;Kelli Clevenger;Bruce Allen Dawson;Danielle Day;Richard Divizio;Tony Domino;Jessica Doyle;David William James Elliott;Gene Fojtik;Reese Foster;Jason Frederick;Darren Elliot Fulsher;David Fultz;Scott Ganyo;Marisol Giraud;Tim Glanfield;Dan Gossen;Sharlene Grover;Natalie Hallam;Alexander Hathaway;Jordon Hodges;John Hoving;Bill Ibrahim;Erron Jay;Daniel Jefferson;Ramses Jimenez;Will Jones;Bob Kaliebe;Nicky Katt;Mark Keiser;Charlie Kierscht;Thomas Kosik;Don Kress;Tim Krueger;Michael Kuster;Dan Latham;Joseph Lazicki;David Lesley;Ivan Lovegren;Deborah Lynn;Noelle Lynn;Jonathan Macchi;J.R. Martino;Joseph Mazurk;Tom McComas;Krista McEnany;James Mellor;Joe Nelson;Sal Ozbay;Libby Pedersen;Ernest Pierce;Rory Plante;Charles Query;Marc Radz;Buster Reeves;Sara Ritz;Peter Rnic;Gary Ryder;Elisa Schleef;Greg Schweiner;Jan Seybold;Amit Shah;Vivek Shah;Michelle Shields;Sofiya Smirnova;John Snowden;Lorea Solabarrieta;Dwight Sora;Bruce Spielbauer;January Stern;Robert Patrick Stern;Robert Stone;Richard Strobel;Chris D. Thomas;John Thurner;Tom Townsend;Chuen Tsou;John Turk;John Warman;Mike Whyte;Erik A. Williams;Chris Wilson;Lisa Wolf;Essa Zahir;Kevin Zaideman;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
George Lucas ;Liam Neeson;Ewan McGregor;Natalie Portman;Jake Lloyd;Ian McDiarmid;Pernilla August;Oliver Ford Davies;Hugh Quarshie;Ahmed Best;Anthony Daniels;Kenny Baker;Frank Oz;Terence Stamp;Brian Blessed;Andy Secombe;Ray Park;Lewis Macleod;Warwick Davis;Steve Speirs;Silas Carson;Jerome Blake;Alan Ruscoe;Ralph Brown;Celia Imrie;Benedict Taylor;Clarence Smith;Samuel L. Jackson;Dominic West;Karol Cristina da Silva;Liz Wilson;Candice Orwell;Sofia Coppola;Keira Knightley;Bronagh Gallagher;John Fensom;Greg Proops;Scott Capurro;Margaret Towner;Dhruv Chanchani;Oliver Walpole;Katie Lucas;Megan Udall;Hassani Shapi;Gin Clarke;Khan Bonfils;Michelle Taylor;Michaela Cottrell;Dipika O'Neill Joti;Phil Eason;Mark Coulier;Lindsay Duncan;Peter Serafinowicz;James Taylor;Chris Sanders;Toby Longworth;Marc Silk;Amanda Lucas;Simon Allen;Richard Armitage;Don Bies;Trisha Biggar;Michonne Bourriague;Ben Burtt;Doug Chiang;Rob Coleman;Roman Coppola;Matt Daniel-Baker;Russell Darling;Philip Delancy;C. Michael Easton;Andrew Elias;John Ellis;Ned Gorman;Joss Gower;Raymond Griffiths;Nathan Hamill;Tim Harrington;Jack Haye;Nifa Hindes;Nishan Hindes;Alexi Kaye Campbell;John Knoll;Kamay Lau;Dan Madsen;Iain McCaig;Rick McCallum;João Costa Menezes;Taylor Murphy;Jeff Olson;Lorne Peterson;Steve Sansweet;Mike Savva;Christian J. Simpson;Paul Martin Smith;Scott Squires;Tom Sylla;Bill Tlusty;Danny Wagner;Matthew Wood;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
George Lucas ;Mark Hamill;Harrison Ford;Carrie Fisher;Peter Cushing;Alec Guinness;Anthony Daniels;Kenny Baker;Peter Mayhew;David Prowse;Phil Brown;Shelagh Fraser;Jack Purvis;Alex McCrindle;Eddie Byrne;Drewe Henley;Denis Lawson;Garrick Hagon;Jack Klaff;William Hootkins;Angus MacInnes;Jeremy Sinden;Graham Ashley;Don Henderson;Richard LeParmentier;Leslie Schofield;David Ankrum;Mark Austin;Scott Beach;Lightning Bear;Jon Berg;Doug Beswick;Paul Blake;Janice Burchette;Ted Burnett;John Chapman;Gilda Cohen;Tim Condren;Barry Copping;Alfie Curtis;Robert Davies;Maria De Aragon;Robert A. Denham;Frazer Diamond;Peter Diamond;Warwick Diamond;Sadie Eden;Kim Falkinburg;Harry Fielder;Ted Gagliano;Salo Gardner;Steve Gawley;Barry Gnome;Rusty Goffe;Isaac Grand;Nelson Hall;Reg Harding;Alan Harris;Frank Henson;Christine Hewett;Arthur Howell;Tommy Ilsley;Joe Johnston;Annette Jones;James Earl Jones;Linda Jones;Joe Kaye;Colin Michael Kitchens;Melissa Kurtz;Tiffany L. Kurtz;Al Lampert;Anthony Lang;Laine Liska;Derek Lyons;Mahjoub;Alf Mangan;Rick McCallum;Grant McCune;Geoffrey Moon;Mandy Morton;Lorne Peterson;Marcus Powell;Shane Rimmer;Pam Rose;George Roubicek;Erica Simmons;Angela Staines;George Stock;Roy Straite;Peter Sturgeon;Peter Sumner;John Sylla;Tom Sylla;Malcolm Tierney;Phil Tippett;Burnell Tucker;Morgan Upton;Jerry Walter;Hal Wamsley;Larry Ward;Diana Sadley Way;Harold Weed;Bill Weston;Steve 'Spaz' Williams;Fred Wood;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Christopher Nolan ;Christian Bale;Gary Oldman;Tom Hardy;Joseph Gordon-Levitt;Anne Hathaway;Marion Cotillard;Morgan Freeman;Michael Caine;Matthew Modine;Alon Aboutboul;Ben Mendelsohn;Burn Gorman;Daniel Sunjata;Aidan Gillen;Sam Kennard;Aliash Tepina;Nestor Carbonell;Brett Cullen;Nick Julian;Miranda Nolan;Claire Julien;Reggie Lee;Joseph Lyle Taylor;Chris Ellis;Tyler Dean Flores;Juno Temple;Duane Henry;James Harvey Ward;Gonzalo Menendez;Cameron Jack;Lex Daniel;Thomas Lennon;Trevor White;Rob Brown;Fredric Lehne;Courtney Munch;Chris Hill;Travis Guba;Jay Benedict;Will Estes;David Dayan Fisher;Phillip James Griffith;Glen Powell;Ben Cornish;Russ Fega;Andres Perez-Molina;Brent Briscoe;John Nolan;Oliver Cotton;Mark Killeen;Sarah Goldberg;John Macmillan;Robert Wisdom;Ronnie Gene Blevins;John Hollingworth;Ian Bohen;Uri Gavriel;Noel Gugliemi;Max Schuler;Daina Griffith;Hector Atreyu Ruiz;Patrick Cox;Aramis Knight;Josh Stewart;William Devane;Harry Coles;Joey King;Liam Neeson;Julie Mun;Cillian Murphy;David Gyasi;Patrick Jordan;Tom Conti;Joshua Elijah Reese;Desmond Harrington;Mychael Bates;Rory Nolan;Tomas Arana;Peter Holden;David Monahan;Jillian Armenante;Aja Evans;Aldous Davidson;Michael James Faradie;Wade Williams;Antwan Lewis;Jake Canuso;Josh Pence;India Wadsworth;Kevin Kiely;Daniel Newman;Massi Furlan;Warren Brown;Luke Rutherford;Phillip Browne;Christopher Judge;Aldo Bigante;Charles Jackson Coyne;Patrick Leahy;Todd Gearhart;Marc Abbink;Joseph M. Abbott;Isiah Adams;Lucia M. Aguirre;Tony Alameda;Chris Albright;Charlie Alejandro;Brandon Allentoff;Tony Amen;Sam Andé;Robert Arensen;Diedra Arthur-O'Ree;James Avise;Grant Babbitt;Fileena Bahris;Russell Balogh;David Nathie Barnes;Joseph Basile;Tiffany Bell;Brandon Blackwell;James Blankenfeld;Todd Bobenrieth;Ryan C. Bogdewic;Rick Bolander;Brendan Boyce;Kyle Patrick Brennan;Corey Brown;Graham Brown;Star Bunner;Steven Butros;Timothy Butts;John Cashin;Scott Churchson;Matt Cipro;Ryan Clark;Carl Clemons;Willie Colon;Daniel R Cooper;Bill Cowher;Scot Cregan;Ruben Dario Cruz II;Gioacchino Jim Cuffaro;Chris J. Cullen;Michael Didriksson;Marvin Duerkholz;Aaron Eckhart;Gray Ellis;Jonn Faircrest;Anthony Farraj;Shawn Farrell;John Farrer;James Farrior;Frank Fata;Susan Feldbusch;Luke Oscar Ford;Justin Fortmeier;Gary Gibbs;Sophia Gilberto;Gregory Gillaspie;Christopher Bryan Gomez;Matthew Gooley;Michael Grand;Vito Grassi;Ryan Green;Michael Wren Gucciardo;Kevin Gurnari;Casey Hampton;Frank Hansen;Sam Harris;Greg Hart;Ed Heavey;Quillian Hightower;John W. Iwanonkiw;Cindy Jackson;Curtis Jermaine;Edgar Jimz;Stephen T. Johnson;Jacob Kalafut;Joe Kane;William Kania;Tiffany Kemp;David Dustin Kenyon;Sun Jae Kim;Sharyn Kmieciak;Zackary Kresser;Ilan Krigsfeld;Alex Kruz;Shannon Lanier;Joshua Lassman;Robert Leckington;Bryan Lee;LeJon;Paul Jude Letersky;Gus Lewis;Joe Lipari;Silvia Lombardo;Jeremy Long;Jack Mahrt;John Mancini;Max Mangel;Dan Marcus;Jorge Mardel;Catya Maré;London May;Mike J. McAllister;Orion McCabe;Sean P. McCarthy;David Dale McCue;Kyle McGrath;Tiffany Sander McKenzie;Randall McNeal;Allen Merritt;Heath Miller;Olan Montgomery;Jeremy Moon;Alex Moore;Paul Nandzik;Phil Nardozzi;Nial Nelson-Hopkins;Alessandro Nicolaci;Shane Nolan;Jackson Nunn;Joseph O'Brien;Shaun O'Donnell;Michael O'Neill;Michael Papajohn;Salomon Passariello;Mark Perrone;Steve Perry;Adam Piacente;Ernest Pierce;Kyle David Pierce;David Michael Plowman;Troy Polamalu;Maurkice Pouncey;Michael Power;Ryan Preimesberger;Diezel Ramos;Jake Ramos;Luke R. Ravenstahl;James Rawlings;Joseph Rittenhouse;Linus Roache;Shindo Ki Rodriguez;Kirsten Roeters;Ben Roethlisberger;Earl Rorer;Tyler Rumsey;Alan Saginian;Eric Salazar;Greg Sammis;Zachary Scheer;Emily Schooley;Chris Sciacco;Barak Shpiez;Gary Sievers;Aaron Smith;Eric Smith;Colin Snyder;Ken Spassione;Blake Steigerwald;Franz Strassmann;Tom Struthers;Kevin Tanski;Matthew Thane;Gualberto Del Toro;Thomas Tull;Craig Usiak;Chris Vaina;Danny Vardanian;Michelle Vezzani;Barbara Vincent;Mike Wallace;Hines Ward;Michael O. Watkins;Christopher Watts;James Werley;Jase Whitaker;Lawrence Whitener;Nickolas Wiegand;Jason Yee;Mitchell Yee;Nikolay Yeriomin;Maria Zambrana;John Zion;Alex Ziwak;Rafael Zubizarreta;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Andrew Adamson ;Mike Myers;Eddie Murphy;Cameron Diaz;Julie Andrews;Antonio Banderas;John Cleese;Rupert Everett;Jennifer Saunders;Aron Warner;Kelly Asbury;Cody Cameron;Conrad Vernon;Christopher Knights;David P. Smith;Mark Moseley;Kelly Cooney;Wendy Bilanski;Larry King;Guillaume Aretos;Chris Miller;Latifa Ouaou;Alina Phelan;Erika Thomas;Joan Rivers;Andrew Adamson;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Steven Spielberg ;Dee Wallace;Henry Thomas;Peter Coyote;Robert MacNaughton;Drew Barrymore;K.C. Martel;Sean Frye;C. Thomas Howell;Erika Eleniak;David M. O'Dell;Richard Swingler;Frank Toth;Robert Barton;Michael Darrell;David Berkson;David Carlberg;Milt Kogan;Alexander Lampone;Rhoda Makoff;Robert Murphy;Richard Pesavento;Tom Sherry;Susan Cameron;Will Fowler Jr.;Barbara Hartnett;Diane Lampone;Mary Stein;Mitch Suskin;Ted Grossman;Jean-Paul Hellendall;Kevin Jessup;James Kahn;Michael Lepre;Anne Lockhart;Gary Ordog;Jonathan Wasserberger;Richard S. Weisman;Pat Welsh;Debra Winger;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gore Verbinski ;Johnny Depp;Orlando Bloom;Keira Knightley;Jack Davenport;Bill Nighy;Jonathan Pryce;Lee Arenberg;Mackenzie Crook;Kevin McNally;davidbailie;Stellan Skarsgård;Tom Hollander;Naomie Harris;Martin Klebba;David Schofield;Alex Norton;Lauren Maher;Nej Adamson;Jimmy Roussounis;Moray Treadwell;San Shella;Jim Cody Williams;Michael Miranda;Luke de Woolfson;Derrick O'Connor;Georges Trillat;Israel Oyelumade;Gerry O'Brien;Dermot Keaney;Clive Ashborn;Robbie Gee;Neil Panlasigui;Matthew Bower;Max Baker;Steve Speirs;John Boswall;Winston Ellis;Christopher Adamson;Andy Beckwith;Jonathan Linsley;Sylver;Simon Meacock;Natsuko Ohama;Josie Dapar;Vanessa Branch;David Sterne;David Keyes;Anthony Patricio;Barry McEvoy;Michael Enright;Hernando Molina;John Mackie;Spider Madison;Bud Mathis;Marco Khan;David Zahedian;Faouzi Brahimi;Jonathan Limbo;Alex Cong;Ho-Kwan Tse;Reggie Lee;LeJon;Christopher S. Capp;Félix Castro;Mike Haberecht;Rudolph McCollum;Gerard J. Reyes;M. Scott Shields;Christopher Sullivan;Craig Thomson;Fred Toft;Claudia Adams;Stephen Ananicz;Peter Donald Badalamenti II;Mark Bedell;Nathan Belt;Rusty 'Gravestone' Bolin;Ron Bottitta;Guy Chapman;Chadwick J. Coleman;Neil D'Monte;Jerald Garner;Sammi Hanratty;Randy Herman;Patrick Hume;Dalon Huntington;Paul Jacobson;Anthony W. Johnson;Sharon Jordan;Marc Joseph;Jason Kakebeen;Jonathan Kite;Ken Lally;James S. Levine;Michael A. Levine;Erwin Lopez;Fred Maske;Ann Matthews;Clark McClanathan;Nikki Taylor Melton;Cory Montgomery;Maggie Munro;Richard Perez;Aaron Pichel;Nicolas Read;Chris Reid;Karly Rothenberg;Geoffrey Rush;Erin Sharkey;Gary Sievers;Opender Singh;Aleksandr Sountsov;Joseph Steven;Tegan Summer;Chris Symonds;Michael Symonds;Jay Tapaoan;Craig Robert Young;Tommy Zandali;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Roger Allers ;Jonathan Taylor Thomas;Matthew Broderick;James Earl Jones;Jeremy Irons;Moira Kelly;Niketa Calame;Ernie Sabella;Nathan Lane;Robert Guillaume;Rowan Atkinson;Madge Sinclair;Whoopi Goldberg;Cheech Marin;Jim Cummings;Jason Weaver;Frank Welker;Cathy Cavadini;Judi M. Durand;Daamen J. Krall;Zoe Leader;David McCharen;Mary Linda Phillips;Phil Proctor;David Randolph;Evan Saucedo;Brian Tochi;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
